Media,ag_cover,Site,Date,Weight,Sample ID,Alachlor,Anthraquinone,Atrazine,Bifenthrin,Biphenyl,Carfentrazone ethyl,Chlorobenzilate,cis-Captafol,Diazinon,Diphenylamine,DMF,Malathion,Metalaxyl,Metolachlor,o-Hydroxybiphenyl,Penconazole,Procymidone,Pyriproxyfen,Terbacil,Terbuthylazine,Tetrahydrophthalimide,Vinclozoline,Dinotefuran,Nitenpyram,Thiamethoxam,Clothianidin,Imidacloprid,Acetamiprid,Thiacloprid
DBT,high,FSR,511,1.4043,DBT 43,,0.154,0.104,0.138,1.175,0.586,0.9,41.231,,1.994,42.762,0.035,0.404,0.178,0.32,0.04,3.952,0.329,3.448,,0.792,0.397,0.161,0.228,8.816,5.958,0.067,0.55,0.185
DBT,high,FSR,514,2.0108,DBT 53,,0.154,0.104,0.138,1.119,0.586,0.9,33.245,,1.815,155.386,0.035,0.404,0.045,1.119,0.04,0.9,0.329,3.448,,12.234,0.397,0.161,0.228,1.844,5.958,0.067,0.55,10.219
DBT,high,FSR,519,1.2644,DBT 63,,0.154,0.104,0.138,1.028,0.586,0.9,12.654,,1.463,459.823,0.035,0.404,0.045,0.672,0.04,17.479,0.329,3.448,,0.792,0.397,0.161,0.228,1.844,5.958,0.067,34.596,0.185
DBT,high,FSR,523,1.7576,DBT 72,,0.154,0.104,0.138,0.683,0.586,0.9,39.201,,1.65,101.587,0.035,0.404,0.045,0.142,0.04,0.9,0.329,3.448,,8.136,0.397,0.161,0.228,54.904,5.958,0.067,0.55,0.185
DBT,high,FSR,527,1.2424,DBT 83,,0.154,0.523,0.138,0.04,0.586,0.9,7.164,,1.167,217.804,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,22.537,0.397,0.161,0.228,1.844,5.958,0.067,4.369,0.185
DBT,high,FSR,603,1.1256,DBT 93,,0.154,0.104,0.138,1.555,0.586,0.9,34.826,,2.177,459.666,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,16.169,0.397,0.161,0.228,1.844,470.638,0.067,0.55,0.185
FP,high,HR,429,1.98,FP 4,0.012254902,0.013,0.379,,0.025,0.1,0.025,,0.012,0.076,0.707,,,0.253,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.976,0.443,0.202,0.819,0.148,0.091,1.037
FP,high,HR,502,1.497,FP 14,0.012254902,0.013,0.167,,0.033,0.1,0.025,,0.033,0.134,0.534,,,1.136,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.04,0.985,0.202,12.714,0.217,0.268,0.061
FP,high,HR,505,1.49,FP 24,0.012254902,0.013,0.025,,0.067,0.1,0.025,,0.235,0.168,3.658,,,4.295,0.067,0.013,0.025,0.025,0.389,0.063,4.329,,0.04,0.434,3.28,17.752,1.411,0.091,0.061
FP,high,HR,508,1.99,FP 34,0.012254902,0.013,0.327,,0.025,0.1,0.025,,0.151,0.553,1.106,,,2.814,0.05,0.013,0.025,0.025,0.389,0.063,3.291,,0.04,0.434,15.391,34.812,2.543,0.223,0.061
FP,high,HR,511,2,FP 44,0.012254902,0.013,0.25,,0.025,0.1,0.025,,0.012,0.075,0.6,,,0.25,0.013,0.013,0.025,0.025,0.389,0.063,0.7,,0.04,0.434,2.387,8.788,1.741,0.091,0.131
FP,high,HR,514,2.01,FP 54,0.012254902,0.013,0.075,,0.025,0.1,0.05,,0.012,0.05,0.224,,,0.05,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.029,0.424,1.185,1.775,1.079,0.047,0.229
FP,high,HR,519,1.49,FP 64,0.012254902,0.013,0.503,,0.034,0.1,0.025,,0.201,0.067,0.47,,,0.067,0.013,0.013,0.025,0.025,0.389,0.063,7.215,,0.029,1.004,0.701,0.938,4.039,0.047,0.785
FP,high,HR,523,2,FP 74,0.012254902,0.013,0.1,,0.025,0.1,0.025,,0.012,0.025,0.025,,,0.025,0.013,0.013,0.025,0.025,0.389,0.063,1.95,,0.609,1.003,2.416,0.938,10.628,2.823,3.19
